Gender,Race_ethnicity,Parental_level_of_education,Lunch,Test_preparation_course,Math_score,Reading_score,Writing_score
Female,group D,Some College,free/reduced,completed,63,80,80
Male,group B,Bachelor'S Degree,free/reduced,none,48,51,46
Male,group B,Associate'S Degree,standard,none,48,43,45
Female,group E,Bachelor'S Degree,free/reduced,completed,92,100,100
Female,group D,Master'S Degree,free/reduced,completed,61,71,78
Male,group B,High School,free/reduced,none,63,48,47
Male,group D,Bachelor'S Degree,free/reduced,none,68,68,67
Male,group B,Some College,standard,completed,71,75,70
Male,group A,Bachelor'S Degree,standard,none,91,96,92
Female,group C,Some College,standard,none,53,62,56
Female,group C,High School,free/reduced,completed,50,66,64
Female,group E,High School,standard,none,74,81,71
Male,group A,Associate'S Degree,free/reduced,completed,40,55,53
Male,group A,Some College,standard,completed,61,51,52
Female,group B,High School,standard,none,81,91,89
Female,group B,Some College,free/reduced,completed,48,56,58
Female,group D,Master'S Degree,standard,none,53,61,68
Female,group D,Some High School,standard,none,81,97,96
Female,group E,Some High School,standard,none,77,79,80
Female,group D,Bachelor'S Degree,free/reduced,none,63,73,78
Female,group D,Associate'S Degree,standard,completed,73,75,80
Female,group D,Some College,standard,none,69,77,77
Female,group C,Associate'S Degree,standard,none,65,76,76
Female,group A,High School,standard,none,55,73,73
Female,group C,Bachelor'S Degree,free/reduced,none,44,63,62
Female,group C,Some College,standard,none,54,64,65
Female,group A,Some High School,standard,none,48,66,65
Male,group C,Some College,free/reduced,none,58,57,54
Male,group A,Some High School,standard,none,71,62,50
Male,group E,Bachelor'S Degree,standard,none,68,68,64
Female,group E,High School,standard,none,74,76,73
Female,group C,Bachelor'S Degree,standard,completed,92,100,99
Female,group C,Bachelor'S Degree,standard,completed,56,79,72
Male,group B,High School,free/reduced,none,30,24,15
Male,group A,Some High School,standard,none,53,54,48
Female,group D,High School,standard,none,69,77,73
Female,group D,Some High School,standard,none,65,82,81
Female,group D,Master'S Degree,standard,none,54,60,63
Female,group C,High School,standard,none,29,29,30
Female,group E,Some College,standard,none,76,78,80
Male,group D,High School,free/reduced,none,60,57,51
Male,group D,Master'S Degree,free/reduced,completed,84,89,90
Male,group C,Some High School,standard,none,75,72,62
Female,group C,Associate'S Degree,standard,none,85,84,82
Female,group C,Master'S Degree,free/reduced,none,40,58,54
Female,group E,Some College,standard,none,61,64,62
Female,group B,Associate'S Degree,standard,none,58,63,65
Male,group D,Some College,free/reduced,completed,69,60,63
Female,group C,Some College,standard,none,58,59,66
Male,group C,Bachelor'S Degree,standard,completed,94,90,91
Female,group C,Associate'S Degree,standard,none,65,77,74
Female,group A,Associate'S Degree,standard,none,82,93,93
Female,group C,High School,standard,none,60,68,72
Female,group E,Bachelor'S Degree,standard,none,37,45,38
Male,group D,Bachelor'S Degree,standard,none,88,78,83
Male,group D,Master'S Degree,standard,none,95,81,84
Male,group C,Associate'S Degree,free/reduced,completed,65,73,68
Female,group C,High School,free/reduced,none,35,61,54
Male,group B,Bachelor'S Degree,free/reduced,none,62,63,56
Male,group C,High School,free/reduced,completed,58,51,52
Male,group A,Some College,standard,completed,100,96,86
Female,group E,Bachelor'S Degree,free/reduced,none,61,58,62
Male,group D,Some College,standard,completed,100,97,99
Male,group B,Associate'S Degree,free/reduced,completed,69,70,63
Male,group D,Associate'S Degree,standard,none,61,48,46
Male,group D,Some College,free/reduced,none,49,57,46
Female,group C,Some High School,standard,completed,44,51,55
Male,group D,Some College,standard,none,67,64,70
Male,group B,High School,standard,none,79,60,65
Female,group B,Bachelor'S Degree,standard,completed,66,74,81
Female,group C,High School,standard,none,75,88,85
Male,group D,Some High School,standard,none,84,84,80
Male,group A,High School,standard,none,71,74,64
Female,group B,High School,free/reduced,completed,67,80,81
Female,group D,Some High School,standard,completed,80,92,88
Male,group E,Some College,standard,none,86,76,74
Female,group D,Associate'S Degree,standard,none,76,74,73
Male,group D,High School,standard,none,41,52,51
Female,group D,Associate'S Degree,free/reduced,completed,74,88,90
Female,group B,Some High School,free/reduced,none,72,81,79
Female,group E,High School,standard,completed,74,79,80
Male,group B,High School,standard,none,70,65,60
Female,group B,Bachelor'S Degree,standard,completed,65,81,81
Female,group D,Associate'S Degree,standard,none,59,70,65
Female,group E,High School,free/reduced,none,64,62,68
Female,group B,High School,standard,none,50,53,55
Female,group D,Some College,standard,completed,69,79,81
Male,group C,Some High School,free/reduced,completed,51,56,53
Female,group A,High School,standard,completed,68,80,76
Female,group D,Some College,standard,completed,85,86,98
Female,group A,Associate'S Degree,standard,completed,65,70,74
Female,group B,Some High School,standard,none,73,79,79
Female,group B,Some College,standard,none,62,67,67
Male,group C,Associate'S Degree,free/reduced,none,77,67,64
Male,group D,Some High School,standard,none,69,66,61
Female,group D,Associate'S Degree,free/reduced,none,43,60,58
Male,group D,Associate'S Degree,standard,none,90,87,85
Male,group C,Some College,free/reduced,none,74,77,73
Male,group C,Some High School,standard,none,73,66,63
Female,group D,Some College,free/reduced,none,55,71,69
Female,group C,High School,standard,none,65,69,67
Male,group D,Associate'S Degree,standard,none,80,63,63
Female,group C,Some High School,free/reduced,completed,50,60,60
Female,group C,Some College,free/reduced,completed,63,73,71
Female,group B,Bachelor'S Degree,free/reduced,none,77,85,87
Male,group C,Some College,standard,none,73,74,61
Male,group D,Associate'S Degree,standard,completed,81,72,77
Female,group C,High School,free/reduced,none,66,76,68
Male,group D,Associate'S Degree,free/reduced,none,52,57,50
Female,group C,Some College,standard,none,69,78,76
Female,group C,Associate'S Degree,standard,completed,65,84,84
Female,group D,High School,standard,completed,69,77,78
Female,group B,Some College,standard,completed,50,64,66
Female,group E,Some College,standard,completed,73,78,76
Female,group C,Some High School,standard,completed,70,82,76
Male,group D,Associate'S Degree,free/reduced,none,81,75,78
Male,group D,Some College,free/reduced,none,63,61,60
Female,group D,High School,standard,none,67,72,74
Male,group B,High School,standard,none,60,68,60
Male,group B,High School,standard,none,62,55,54
Female,group C,Some High School,free/reduced,completed,29,40,44
Male,group B,Some College,standard,completed,62,66,68
Female,group E,Master'S Degree,standard,completed,94,99,100
Male,group E,Some College,standard,completed,85,75,68
Male,group D,Associate'S Degree,free/reduced,none,77,78,73
Male,group A,High School,free/reduced,none,53,58,44
Male,group E,Some College,free/reduced,none,93,90,83
Female,group C,Associate'S Degree,standard,none,49,53,53
Female,group E,Associate'S Degree,free/reduced,none,73,76,78
Female,group C,Bachelor'S Degree,free/reduced,completed,66,74,81
Female,group D,Associate'S Degree,standard,none,77,77,73
Female,group C,Some High School,standard,none,49,63,56
Female,group D,Some College,free/reduced,none,79,89,86
Female,group C,Associate'S Degree,standard,completed,75,82,90
Female,group A,Bachelor'S Degree,standard,none,59,72,70
Female,group D,Associate'S Degree,standard,completed,57,78,79
Male,group C,High School,free/reduced,none,66,66,59
Female,group E,Bachelor'S Degree,standard,completed,79,81,82
Female,group B,Some High School,standard,none,57,67,72
Male,group A,Bachelor'S Degree,standard,completed,87,84,87
Female,group D,Some College,standard,none,63,64,67
Female,group B,Some High School,free/reduced,completed,59,63,64
Male,group A,Bachelor'S Degree,free/reduced,none,62,72,65
Male,group D,High School,standard,none,46,34,36
Male,group C,Some College,standard,none,66,59,52
Male,group D,High School,standard,none,89,87,79
Female,group D,Associate'S Degree,free/reduced,completed,42,61,58
Male,group C,Some College,standard,completed,93,84,90
Female,group E,Some High School,standard,completed,80,85,85
Female,group D,Some College,standard,none,98,100,99
Male,group D,Master'S Degree,standard,none,81,81,84
Female,group B,Some High School,standard,completed,60,70,74
Female,group B,Associate'S Degree,free/reduced,completed,76,94,87
Male,group C,Associate'S Degree,standard,completed,73,78,72
Female,group C,Associate'S Degree,standard,completed,96,96,99
Female,group C,High School,standard,none,76,76,74
Male,group E,Associate'S Degree,free/reduced,completed,91,73,80
Female,group C,Some College,free/reduced,none,62,72,70
Male,group D,Some High School,free/reduced,completed,55,59,59
Female,group B,Some High School,free/reduced,completed,74,90,88
Male,group C,High School,standard,none,50,48,42
Male,group B,Some College,standard,none,47,43,41
Male,group E,Some College,standard,completed,81,74,71
Female,group E,Associate'S Degree,standard,completed,65,75,77
Male,group E,Some High School,standard,completed,68,51,57
Female,group D,High School,free/reduced,none,73,92,84
Male,group C,Some College,standard,none,53,39,37
Female,group B,Associate'S Degree,free/reduced,completed,68,77,80
Male,group A,Some High School,free/reduced,none,55,46,43
Female,group C,Some College,standard,completed,87,89,94
Male,group D,Some High School,standard,none,55,47,44
Female,group E,Some College,free/reduced,none,53,58,57
Male,group C,Master'S Degree,standard,none,67,57,59
Male,group C,Associate'S Degree,standard,none,92,79,84
Female,group B,Some College,free/reduced,completed,53,66,73
Male,group D,Associate'S Degree,standard,none,81,71,73
Male,group C,High School,free/reduced,none,61,60,55
Male,group D,Bachelor'S Degree,standard,none,80,73,72
Female,group A,Associate'S Degree,free/reduced,none,37,57,56
Female,group C,High School,standard,none,81,84,82
Female,group C,Associate'S Degree,standard,completed,59,73,72
Male,group B,Some College,free/reduced,none,55,55,47
Male,group D,Associate'S Degree,standard,none,72,79,74
Male,group D,High School,standard,none,69,75,71
Male,group C,Some College,standard,none,69,64,68
Female,group C,Bachelor'S Degree,free/reduced,none,50,60,59
Male,group B,Some College,standard,completed,87,84,86
Male,group D,Some High School,standard,completed,71,69,68
Male,group E,Some College,standard,none,68,72,65
Male,group C,Master'S Degree,free/reduced,completed,79,77,75
Female,group C,Some High School,standard,completed,77,90,85
Male,group C,Associate'S Degree,free/reduced,none,58,55,53
Female,group E,Associate'S Degree,standard,none,84,95,92
Male,group D,Some College,standard,none,55,58,52
Male,group E,Bachelor'S Degree,free/reduced,completed,70,68,72
Female,group D,Some College,free/reduced,completed,52,59,65
Male,group B,Some College,standard,completed,69,77,77
Female,group C,High School,free/reduced,none,53,72,64
Female,group D,Some High School,standard,none,48,58,54
Male,group D,Some High School,standard,completed,78,81,86
Female,group B,High School,standard,none,62,62,63
Male,group D,Some College,standard,none,60,63,59
Female,group B,High School,standard,none,74,72,72
Female,group C,High School,standard,completed,58,75,77
Male,group B,High School,standard,completed,76,62,60
Female,group D,Some High School,standard,none,68,71,75
Male,group A,Some College,free/reduced,none,58,60,57
Male,group B,High School,standard,none,52,48,49
Male,group D,Bachelor'S Degree,standard,none,75,73,74
Female,group B,Some High School,free/reduced,completed,52,67,72
Female,group C,Bachelor'S Degree,free/reduced,none,62,78,79
Male,group B,Some College,standard,none,66,65,60
Female,group B,Some High School,free/reduced,none,49,58,55
Female,group B,High School,standard,none,66,72,70
Female,group C,Some College,free/reduced,none,35,44,43
Female,group A,Some College,standard,completed,72,79,82
Male,group E,Associate'S Degree,standard,completed,94,85,82
Female,group D,Associate'S Degree,free/reduced,none,46,56,57
Female,group B,Master'S Degree,standard,none,77,90,84
Female,group B,High School,free/reduced,completed,76,85,82
Female,group C,Associate'S Degree,standard,completed,52,59,62
Male,group C,Bachelor'S Degree,standard,completed,91,81,79
Female,group B,Some High School,standard,completed,32,51,44
Female,group E,Some High School,free/reduced,none,72,79,77
Female,group B,Some College,standard,none,19,38,32
Male,group C,Associate'S Degree,free/reduced,none,68,65,61
Female,group C,Master'S Degree,free/reduced,none,52,65,61
Female,group B,High School,standard,none,48,62,60
Female,group D,Some College,free/reduced,none,60,66,70
Male,group D,High School,free/reduced,none,66,74,69
Male,group E,Some High School,standard,completed,89,84,77
Female,group B,High School,standard,none,42,52,51
Female,group E,Associate'S Degree,free/reduced,completed,57,68,73
Male,group D,High School,standard,none,70,70,70
Female,group E,Associate'S Degree,free/reduced,none,70,84,81
Male,group E,Some College,standard,none,69,60,54
Female,group C,Associate'S Degree,standard,none,52,55,57
Male,group C,Some High School,standard,completed,67,73,68
Male,group C,Some High School,standard,completed,76,80,73
Female,group E,Associate'S Degree,standard,none,87,94,95
Female,group B,Some College,standard,none,82,85,87
Female,group C,Some College,standard,none,73,76,78
Male,group A,Some College,free/reduced,none,75,81,74
Female,group D,Some College,free/reduced,none,64,74,75
Female,group E,High School,free/reduced,none,41,45,40
Male,group C,High School,standard,none,90,75,69
Male,group B,Bachelor'S Degree,standard,none,59,54,51
Male,group A,Some High School,standard,none,51,31,36
Male,group A,High School,free/reduced,none,45,47,49
Female,group C,Master'S Degree,standard,completed,54,64,67
Male,group E,Some High School,standard,completed,87,84,76
Female,group C,High School,standard,none,72,80,83
Male,group B,Some High School,standard,completed,94,86,87
Female,group A,Bachelor'S Degree,standard,none,45,59,64
Male,group D,Bachelor'S Degree,free/reduced,completed,61,70,76
Female,group B,High School,free/reduced,none,60,72,68
Female,group C,Some High School,standard,none,77,91,88
Female,group A,Some High School,standard,completed,85,90,92
Female,group D,Bachelor'S Degree,free/reduced,none,78,90,93
Male,group E,Some College,free/reduced,completed,49,52,51
Female,group B,High School,free/reduced,none,71,87,82
Female,group C,Some High School,free/reduced,none,48,58,52
Male,group C,High School,standard,none,62,67,58
Female,group C,Associate'S Degree,free/reduced,completed,56,68,70
Female,group C,Some High School,standard,none,65,69,76
Female,group D,Some High School,free/reduced,completed,69,86,81
Male,group B,Some High School,standard,none,68,54,53
Female,group A,Some College,free/reduced,none,61,60,57
Female,group C,Bachelor'S Degree,free/reduced,completed,74,86,89
Male,group A,Bachelor'S Degree,standard,none,64,60,58
Female,group B,High School,standard,completed,77,82,89
Male,group B,Some College,standard,none,58,50,45
Female,group C,High School,standard,completed,60,64,74
Male,group E,High School,standard,none,73,64,57
Female,group A,High School,standard,completed,75,82,79
Male,group B,Associate'S Degree,free/reduced,completed,58,57,53
Female,group C,Associate'S Degree,standard,none,66,77,73
Female,group D,High School,free/reduced,none,39,52,46
Male,group C,Some High School,standard,none,64,58,51
Female,group B,High School,free/reduced,completed,23,44,36
Male,group B,Some College,free/reduced,completed,74,77,76
Female,group D,Some High School,free/reduced,completed,40,65,64
Male,group E,Master'S Degree,standard,none,90,85,84
Male,group C,Master'S Degree,standard,completed,91,85,85
Male,group D,High School,standard,none,64,54,50
Female,group C,High School,standard,none,59,72,68
Male,group D,Associate'S Degree,standard,none,80,75,69
Male,group C,Master'S Degree,standard,none,71,67,67
Female,group A,High School,standard,none,61,68,63
Female,group E,Some College,standard,none,87,85,93
Male,group E,Some High School,standard,none,82,67,61
Male,group C,Some High School,standard,none,62,64,55
Female,group B,Bachelor'S Degree,standard,none,97,97,96
Male,group B,Some College,free/reduced,none,75,68,65
Female,group C,Bachelor'S Degree,standard,none,65,79,81
Male,group B,High School,standard,completed,52,49,46
Male,group C,Associate'S Degree,free/reduced,none,87,73,72
Female,group C,Associate'S Degree,standard,none,53,62,53
Female,group E,Master'S Degree,free/reduced,none,81,86,87
Male,group D,Bachelor'S Degree,free/reduced,completed,39,42,38
Female,group C,Some College,standard,completed,71,71,80
Male,group C,Associate'S Degree,standard,none,97,93,91
Male,group D,Some College,standard,completed,82,82,88
Male,group C,High School,free/reduced,none,59,53,52
Male,group B,Associate'S Degree,standard,none,61,42,41
Male,group E,Associate'S Degree,free/reduced,completed,78,74,72
Male,group C,Associate'S Degree,free/reduced,none,49,51,51
Male,group B,High School,standard,none,59,58,47
Female,group C,Some College,standard,completed,70,72,76
Male,group B,Associate'S Degree,standard,completed,82,84,78
Male,group E,Associate'S Degree,free/reduced,none,90,90,82
Female,group C,Bachelor'S Degree,free/reduced,none,43,62,61
Male,group C,Some College,free/reduced,none,80,64,66
Male,group D,Some College,standard,none,81,82,84
Male,group C,Some High School,standard,none,57,61,54
Female,group D,Some High School,standard,none,59,72,80
Female,group D,Associate'S Degree,standard,none,64,76,74
Male,group C,Bachelor'S Degree,standard,completed,63,64,66
Female,group E,Bachelor'S Degree,standard,completed,71,70,70
Female,group B,High School,free/reduced,none,64,73,71
Male,group D,Bachelor'S Degree,free/reduced,none,55,46,44
Female,group E,Associate'S Degree,standard,none,51,51,54
Female,group C,Associate'S Degree,standard,completed,62,76,80
Female,group E,Associate'S Degree,standard,completed,93,100,95
Male,group C,High School,free/reduced,none,54,72,59
Female,group D,Some College,free/reduced,none,69,65,74
Male,group D,High School,free/reduced,none,44,51,48
Female,group E,Some College,standard,completed,86,85,91
Female,group E,Associate'S Degree,standard,none,85,92,85
Female,group A,Master'S Degree,free/reduced,none,50,67,73
Male,group D,Some High School,standard,completed,88,74,75
Female,group E,Associate'S Degree,standard,none,59,62,69
Female,group E,Some High School,free/reduced,none,32,34,38
Male,group B,High School,free/reduced,none,36,29,27
Female,group B,Some High School,free/reduced,completed,63,78,79
Male,group D,Associate'S Degree,standard,completed,67,54,63
Female,group D,Some High School,standard,completed,65,78,82
Male,group D,Master'S Degree,standard,none,85,84,89
Female,group C,Master'S Degree,standard,none,73,78,74
Female,group A,High School,free/reduced,completed,34,48,41
Female,group D,Bachelor'S Degree,free/reduced,completed,93,100,100
Female,group D,Some High School,free/reduced,none,67,84,84
Male,group D,Some College,standard,none,88,77,77
Male,group B,High School,standard,none,57,48,51
Female,group D,Some College,standard,completed,79,84,91
Female,group C,Bachelor'S Degree,free/reduced,none,67,75,72
Male,group E,Bachelor'S Degree,standard,completed,70,64,70
Male,group D,Bachelor'S Degree,free/reduced,none,50,42,48
Female,group A,Some College,standard,none,69,84,82
Female,group C,Bachelor'S Degree,standard,completed,52,61,66
Female,group C,Bachelor'S Degree,free/reduced,completed,47,62,66
Female,group B,Associate'S Degree,free/reduced,none,46,61,55
Female,group E,Some College,standard,none,68,70,66
Male,group E,Bachelor'S Degree,standard,completed,100,100,100
Female,group C,High School,standard,none,44,61,52
Female,group C,Associate'S Degree,standard,completed,57,77,80
Male,group B,Some College,standard,completed,91,96,91
Male,group D,High School,free/reduced,none,69,70,67
Female,group C,High School,free/reduced,none,35,53,46
Male,group D,High School,standard,none,72,66,66
Female,group B,Associate'S Degree,free/reduced,none,54,65,65
Male,group D,High School,free/reduced,none,74,70,69
Male,group E,Some High School,standard,completed,74,64,60
Male,group E,Associate'S Degree,free/reduced,none,64,56,52
Female,group D,High School,free/reduced,completed,65,61,71
Male,group E,Associate'S Degree,free/reduced,completed,46,43,44
Female,group C,Some High School,free/reduced,none,48,56,51
Male,group C,Some College,free/reduced,completed,67,74,70
Male,group D,Some College,free/reduced,none,62,57,62
Male,group D,Associate'S Degree,free/reduced,completed,61,71,73
Male,group C,Bachelor'S Degree,free/reduced,completed,70,75,74
Male,group C,Associate'S Degree,standard,completed,98,87,90
Male,group D,Some College,free/reduced,none,70,63,58
Male,group A,Associate'S Degree,standard,none,67,57,53
Female,group E,High School,free/reduced,none,57,58,57
Male,group D,Some College,standard,completed,85,81,85
Male,group D,Some High School,standard,completed,77,68,69
Male,group C,Master'S Degree,free/reduced,completed,72,66,72
Female,group D,Master'S Degree,standard,none,78,91,96
Male,group C,High School,standard,none,81,66,64
Male,group A,Some High School,free/reduced,completed,61,62,61
Female,group B,High School,standard,none,58,68,61
Female,group C,Associate'S Degree,standard,none,54,61,58
Male,group B,High School,standard,none,82,82,80
Female,group D,Some College,free/reduced,none,49,58,60
Male,group B,Some High School,free/reduced,completed,49,50,52
Female,group E,High School,free/reduced,completed,57,75,73
Male,group E,High School,standard,none,94,73,71
Female,group D,Some College,standard,completed,75,77,83
Female,group E,Some High School,free/reduced,none,74,74,72
Male,group C,High School,standard,completed,58,52,54
Female,group C,Some College,standard,none,62,69,69
Male,group E,Associate'S Degree,standard,none,72,57,62
Male,group C,Some College,standard,none,84,87,81
Female,group D,Master'S Degree,standard,none,92,100,100
Female,group D,High School,standard,none,45,63,59
Male,group C,High School,standard,none,75,81,71
Female,group A,Some College,standard,none,56,58,64
Female,group D,Some High School,free/reduced,none,48,54,53
Female,group E,Associate'S Degree,standard,none,100,100,100
Female,group C,Some High School,free/reduced,completed,65,76,75
Male,group D,Some College,standard,none,72,57,58
Female,group D,Some College,standard,none,62,70,72
Male,group A,Some High School,standard,completed,66,68,64
Male,group C,Some College,standard,none,63,63,60
Female,group E,Associate'S Degree,standard,none,68,76,67
Female,group B,Bachelor'S Degree,standard,none,75,84,80
Female,group D,Bachelor'S Degree,standard,none,89,100,100
Male,group C,Some High School,standard,completed,78,72,69
Female,group A,High School,free/reduced,completed,53,50,60
Female,group D,Some College,free/reduced,none,49,65,61
Female,group A,Some College,standard,none,54,63,67
Female,group C,Some College,standard,completed,64,82,77
Male,group B,Some College,free/reduced,completed,60,62,60
Male,group C,Associate'S Degree,standard,none,62,65,58
Male,group D,High School,standard,completed,55,41,48
Female,group C,Associate'S Degree,standard,none,91,95,94
Female,group B,High School,free/reduced,none,8,24,23
Male,group D,Some High School,standard,none,81,78,78
Male,group B,Some High School,standard,completed,79,85,86
Female,group A,Some College,standard,completed,78,87,91
Female,group C,Some High School,standard,none,74,75,82
Male,group A,High School,standard,none,57,51,54
Female,group C,Associate'S Degree,standard,none,40,59,51
Male,group E,Some High School,standard,completed,81,75,76
Female,group A,Some High School,free/reduced,none,44,45,45
Female,group D,Some College,free/reduced,completed,67,86,83
Male,group E,High School,free/reduced,completed,86,81,75
Female,group B,Some High School,standard,completed,65,82,78
Female,group D,Associate'S Degree,free/reduced,none,55,76,76
Female,group D,Bachelor'S Degree,free/reduced,none,62,72,74
Male,group A,High School,standard,none,63,63,62
Female,group E,Master'S Degree,standard,completed,88,99,95
Male,group C,High School,free/reduced,none,62,55,55
Female,group C,High School,free/reduced,completed,59,71,65
Female,group D,Some College,standard,completed,68,78,77
Female,group D,Some College,free/reduced,none,77,86,86
